name,grade,parent_email,parent_cell
Arvie Bennison,6,abennisonw@tumblr.com,684-731-6081
Idalina Summerskill,10,isummerskillx@ifeng.com,599-631-9192
Barnett Heustace,6,bheustacey@lycos.com,956-989-2740
Alia Howlett,2,ahowlettz@scientificamerican.com,251-459-9001
Lou Bwye,5,lbwye10@over-blog.com,456-429-0556
Onfre Lakeman,9,olakeman11@stanford.edu,702-615-7271
Winonah Patron,5,wpatron12@unblog.fr,475-191-0784
Baird Tulip,1,btulip13@upenn.edu,398-934-8507
Brietta Botly,9,bbotly14@geocities.jp,286-293-6644
Goldy Tilt,8,gtilt15@un.org,922-358-3274
Farra Monnoyer,8,fmonnoyer16@github.com,668-697-8845
Danila Burnapp,5,dburnapp17@google.ru,260-521-0257
Gwenora Gilburt,9,ggilburt18@mail.ru,966-759-4874
Artus MacCoveney,7,amaccoveney19@bbb.org,264-280-2405
Ardene Boniface,8,aboniface1a@multiply.com,239-606-7251
Linnet Simonot,2,lsimonot1b@netlog.com,692-608-7295
Lissie Waind,6,lwaind1c@narod.ru,801-612-0816
Quill Adrien,8,qadrien1d@harvard.edu,412-647-8401
Clayborne Meggison,4,cmeggison1e@cpanel.net,181-917-9699
Winston Foulser,3,wfoulser1f@ameblo.jp,870-461-8304
Faunie Cordeau,1,fcordeau1g@mysql.com,600-248-2699
Symon Bandey,8,sbandey1h@zimbio.com,458-695-4881
Amye Dankersley,1,adankersley1i@i2i.jp,785-219-5932
Kikelia Guyton,4,kguyton1j@imageshack.us,350-314-7661
Berri Tolotti,6,btolotti1k@marketwatch.com,482-850-6386
Enrica Snasel,5,esnasel1l@t-online.de,682-919-7332
Tudor Neller,3,tneller1m@va.gov,568-654-7041
Pet Ayliff,1,payliff1n@canalblog.com,148-735-0635
Silvana Mundford,9,smundford1o@apache.org,962-315-1005
Pippy Cleynman,9,pcleynman1p@uiuc.edu,947-897-2938
Kellina Jakovijevic,9,kjakovijevic1q@amazon.de,332-317-0395
Reube Tiffany,6,rtiffany1r@alibaba.com,291-975-7067
Patten Lambol,7,plambol1s@go.com,207-918-4479
Chrystal Luttgert,5,cluttgert1t@networksolutions.com,113-167-1012
Bethina Marton,5,bmarton1u@lycos.com,364-901-9498
Barry Bridgens,1,bbridgens1v@ca.gov,938-710-8472
Binky Ferrario,10,bferrario1w@virginia.edu,923-679-0751
Hana Walles,5,hwalles1x@sogou.com,186-562-7253
Diannne Ditty,8,dditty1y@cam.ac.uk,247-878-2781
Delmor O' Neligan,3,do1z@noaa.gov,602-958-4223
Sibeal Nettleship,8,snettleship20@soundcloud.com,143-652-1330
Clovis Adamsen,2,cadamsen21@addtoany.com,818-549-5657
Sterne Reeme,2,sreeme22@oaic.gov.au,961-988-7773
Gwyneth Mate,10,gmate23@so-net.ne.jp,345-232-5856
Ogden Dingivan,4,odingivan24@tmall.com,212-698-3153
Andee Gamlin,2,agamlin25@microsoft.com,230-931-1128
Allayne Braams,7,abraams26@deviantart.com,366-301-5593
Burke Denzey,2,bdenzey27@nps.gov,696-878-8535
Feliza Zettoi,5,fzettoi28@chicagotribune.com,700-666-7277
Jyoti Snelgar,3,jsnelgar29@pinterest.com,809-921-5789
Celestyn Lafranconi,2,clafranconi2a@arizona.edu,751-182-4462
Quinta Dance,3,qdance2b@plala.or.jp,454-812-2953
Norrie Appleby,3,nappleby2c@fastcompany.com,495-455-5789
Phylis Lauret,1,plauret2d@eventbrite.com,388-162-1882
Neddy Scowcraft,3,nscowcraft2e@gizmodo.com,711-265-1351
Mona Chesterfield,5,mchesterfield2f@seesaa.net,814-884-3400
Margarita Wignall,10,mwignall2g@shop-pro.jp,344-249-5449
Reider Yeaman,2,ryeaman2h@squidoo.com,458-935-5880
Steffane Swanne,3,sswanne2i@illinois.edu,402-821-5979
Sherwynd Overshott,7,sovershott2j@zimbio.com,551-414-5529
Esdras Petel,5,epetel2k@t-online.de,509-823-4589
Cyrillus Philipet,9,cphilipet2l@plala.or.jp,622-206-4689
Kendre Wallenger,5,kwallenger2m@webs.com,345-153-1058
Vale Lunnon,8,vlunnon2n@rambler.ru,989-685-2355
Donnie Hendricks,1,dhendricks2o@goo.gl,743-684-9599
Madelyn Denison,7,mdenison2p@geocities.jp,816-807-7986
Staffard Garroway,3,sgarroway2q@creativecommons.org,385-525-6287
Salvidor Bilbee,9,sbilbee2r@columbia.edu,824-182-4313
Marlie Geale,7,mgeale2s@vistaprint.com,334-727-3080
Holden Shipp,4,hshipp2t@newsvine.com,728-170-6272
Willamina Taber,2,wtaber2u@edublogs.org,552-301-8255
Elsinore Ainsley,9,eainsley2v@google.pl,703-906-7407
Zachary Ortler,2,zortler2w@ox.ac.uk,231-282-3828
Matilde Duffield,7,mduffield2x@gnu.org,707-167-6808
Kass Flieg,9,kflieg2y@prlog.org,218-254-1996
Tani Leaming,5,tleaming2z@topsy.com,616-707-6257
Hadlee Duignan,9,hduignan30@digg.com,108-816-0534
Dinny Bonifacio,4,dbonifacio31@dropbox.com,417-935-3588
Marys Mourgue,7,mmourgue32@mit.edu,222-598-3931
Terencio Evert,5,tevert33@ftc.gov,543-985-2103
Hyacinth MacPaik,6,hmacpaik34@unc.edu,924-497-0896
Hollie Schimaschke,2,hschimaschke35@comcast.net,820-735-8896
Cesar Purver,8,cpurver36@moonfruit.com,446-244-4030
Kati Longden,2,klongden37@simplemachines.org,878-175-9342
Suzanna Durban,3,sdurban38@marriott.com,566-838-3854
Halette Gisbey,1,hgisbey39@csmonitor.com,722-719-1579
Reinaldos Esseby,4,resseby3a@arizona.edu,100-507-2781
Thomasina Crose,9,tcrose3b@msu.edu,540-621-4889
Blane Sweed,2,bsweed3c@yahoo.com,252-724-3279
Elia Walker,10,ewalker3d@list-manage.com,193-311-9627
Annabal Kanwell,7,akanwell3e@yale.edu,326-410-5352
Roderic Ralph,3,rralph3f@npr.org,455-372-4824
Albina Lampens,6,alampens3g@pbs.org,459-818-0636
Sarita Bayford,4,sbayford3h@hubpages.com,398-817-0174
Noelyn Sustins,1,nsustins3i@ustream.tv,675-709-8650
Leone Weetch,2,lweetch3j@simplemachines.org,413-629-5493
Enid Greenrod,1,egreenrod3k@slate.com,592-330-7124
Ermanno Annes,8,eannes3l@liveinternet.ru,248-462-4276
Kristi Maseyk,3,kmaseyk3m@jimdo.com,492-638-2545
Shir Blondell,4,sblondell3n@ebay.co.uk,501-869-2293
Lion Mc Meekin,7,lmc3o@mapquest.com,771-209-7638
Stella O'Kinneally,5,sokinneally3p@wikia.com,604-960-7831
Arnie Olligan,9,aolligan3q@wp.com,445-222-0446
Dorry Pohlak,6,dpohlak3r@amazonaws.com,547-210-0991
Nicoli Gooding,6,ngooding3s@msn.com,839-330-4550
Lois Wesson,8,lwesson3t@delicious.com,672-335-9190
Pegeen Comazzo,10,pcomazzo3u@digg.com,229-224-2401
Leonid Eayres,5,leayres3v@etsy.com,947-752-6581
Yancy Joder,10,yjoder3w@odnoklassniki.ru,287-941-2418
Julius Sallter,7,jsallter3x@biglobe.ne.jp,814-845-5735
Flori Snowsill,3,fsnowsill3y@gravatar.com,490-949-8405
Rosene Woodfin,1,rwoodfin3z@nhs.uk,920-361-2206
Christy Perchard,9,cperchard40@ustream.tv,275-874-4053
Merissa Rochell,10,mrochell41@yolasite.com,705-113-7392
Ryun Stilwell,9,rstilwell42@instagram.com,359-104-9192
Aaron Soutter,8,asoutter43@techcrunch.com,715-794-5036
Byrom Jobke,10,bjobke44@sun.com,583-308-6239
Laurel Davidge,9,ldavidge45@friendfeed.com,669-686-6538
Rich Askey,1,raskey46@google.co.uk,356-749-8530
Dannel Reading,6,dreading47@xing.com,749-951-7004
Leeann Ivanikov,3,livanikov48@e-recht24.de,174-614-5181
Brittaney Bracknall,1,bbracknall49@diigo.com,166-636-5366
Lucio Jandourek,3,ljandourek4a@cdbaby.com,280-500-3939
Gunilla Du Hamel,10,gdu4b@princeton.edu,646-881-0177
Eleanor Tregona,5,etregona4c@ted.com,642-407-7085
Jessie Ferronet,1,jferronet4d@cocolog-nifty.com,817-343-6250
Allyn Piner,9,apiner4e@ustream.tv,902-423-8326
Jenica Mecco,5,jmecco4f@taobao.com,620-345-6575
Tiphani Rubbens,6,trubbens4g@ask.com,637-916-8372
Jessey Bickerton,7,jbickerton4h@cnn.com,688-548-2609
Clare Backshill,5,cbackshill4i@tamu.edu,761-314-3981
Kaitlin Grissett,5,kgrissett4j@theglobeandmail.com,577-586-7962
Urban Rizzardi,10,urizzardi4k@guardian.co.uk,323-772-3832
William Nice,2,wnice4l@sitemeter.com,813-456-5481
Jacques Tombling,4,jtombling4m@flavors.me,671-807-1632
Neville Tender,2,ntender4n@economist.com,245-946-2195
Hugo Raddon,3,hraddon4o@nih.gov,336-822-7486
Shoshana Pleaden,5,spleaden4p@surveymonkey.com,150-572-1817
Netti Smorfit,2,nsmorfit4q@artisteer.com,130-885-1381
Salli Atger,9,satger4r@printfriendly.com,823-998-6370
Melanie Dargavel,7,mdargavel4s@friendfeed.com,798-844-7422
Gerrie Allcroft,4,gallcroft4t@dropbox.com,420-116-5933
Allie Dracksford,1,adracksford4u@oakley.com,364-378-4584
Evy Jacobssen,5,ejacobssen4v@comsenz.com,975-527-6043
Harri Higgonet,4,hhiggonet4w@pagesperso-orange.fr,572-825-0703
Delores Byrom,3,dbyrom4x@craigslist.org,539-527-7494
Rafaela Chasle,2,rchasle4y@lulu.com,294-209-5915
Sigismond Toller,9,stoller4z@nasa.gov,773-860-2828
Rikki Bolstridge,4,rbolstridge50@washington.edu,601-555-8713
Marcy Corsor,1,mcorsor51@mediafire.com,811-886-1215
Noam Riste,8,nriste52@redcross.org,385-851-1545
Eustacia Cristofaro,10,ecristofaro53@ustream.tv,658-749-0107
Dyanne Pescott,8,dpescott54@gizmodo.com,889-344-0804
Tobias Jervois,5,tjervois55@slate.com,745-341-9863
Rowena Wildor,4,rwildor56@hao123.com,848-136-7348
Myrtia Shadfourth,10,mshadfourth57@jalbum.net,318-470-5823
Kaitlyn Yakovitch,3,kyakovitch58@virginia.edu,766-905-2702
Gary Wilmot,1,gwilmot59@imageshack.us,266-616-2781
Vito Cavee,7,vcavee5a@ucsd.edu,122-305-6415
Meryl Stiller,9,mstiller5b@freewebs.com,828-244-6720
Ardene Mandel,5,amandel5c@oakley.com,596-471-4387
Bram Pinsent,3,bpinsent5d@scientificamerican.com,379-447-8401
Lenard Da Costa,3,lda5e@craigslist.org,480-984-9719
Katie Karpf,10,kkarpf5f@cnbc.com,425-690-1859
Lemar Twydell,1,ltwydell5g@alexa.com,595-211-0989
Clayson Sydenham,3,csydenham5h@ask.com,137-781-5184
Crin Atkins,6,catkins5i@imageshack.us,996-191-5079
Darelle Freeland,7,dfreeland5j@hibu.com,781-234-7788
Ludovika Jeens,10,ljeens5k@mediafire.com,424-481-2846
Allayne Derl,3,aderl5l@narod.ru,620-521-0608
Celesta Torrese,5,ctorrese5m@alexa.com,954-893-7833
Cosimo Mccaull,6,cmccaull5n@nsw.gov.au,489-766-4705
Dot Congreve,6,dcongreve5o@edublogs.org,600-322-7418
Eloise Kiebes,7,ekiebes5p@ebay.com,517-193-1103
Brantley Calyton,8,bcalyton5q@ycombinator.com,243-145-1299
Bendick Hackett,2,bhackett5r@cmu.edu,403-495-8760
Ailbert Enns,3,aenns5s@infoseek.co.jp,996-653-6541
Gare Patullo,2,gpatullo5t@sogou.com,989-315-7824
Sarah Eiler,6,seiler5u@studiopress.com,193-760-4663
La verne McVicker,4,lverne5v@weather.com,843-314-6865
Gabriel Gilli,6,ggilli5w@auda.org.au,114-947-7651
Tamiko Sephton,8,tsephton5x@facebook.com,528-759-4892
Theodosia Kirimaa,10,tkirimaa5y@wiley.com,740-787-5678
Marve Antoniat,6,mantoniat5z@guardian.co.uk,624-655-6470
Pietrek Pimlott,5,ppimlott60@google.nl,353-748-3841
Carlin Greim,1,cgreim61@weibo.com,289-362-2563
Loree Alishoner,6,lalishoner62@booking.com,256-255-6012
Glenna Fairhead,6,gfairhead63@illinois.edu,160-756-1601
Ferdy de Courcy,9,fde64@deliciousdays.com,358-317-0599
Gwenny Segrott,4,gsegrott65@newyorker.com,783-151-7236
Greg Borell,9,gborell66@amazon.de,322-888-8205
Orion Reyson,2,oreyson67@dailymotion.com,201-744-5670
Brien Macey,5,bmacey68@walmart.com,714-926-1530
Emelia Devey,6,edevey69@over-blog.com,133-449-6710
Gabe Conre,5,gconre6a@ihg.com,160-453-9767
Alfreda Josefer,10,ajosefer6b@delicious.com,780-949-7135
Haven Temple,2,htemple6c@sohu.com,335-704-8648
Dynah Crosse,4,dcrosse6d@printfriendly.com,694-736-4912
Cyndi Swinerd,10,cswinerd6e@discuz.net,676-415-1857
Porter Holtham,5,pholtham6f@va.gov,700-291-8777
Rozelle Ghilks,10,rghilks6g@typepad.com,717-939-9388
Olia Kemet,3,okemet6h@1und1.de,707-980-5306
Barri MacGinley,1,bmacginley6i@youtu.be,282-787-5894
Corilla Salazar,4,csalazar6j@si.edu,657-721-4532
Jenine Edgett,1,jedgett6k@cnet.com,212-791-2616
Roosevelt Toon,2,rtoon6l@theglobeandmail.com,263-304-8338
Elias Defew,10,edefew6m@whitehouse.gov,898-197-4633
Phebe Reymers,5,preymers6n@ustream.tv,202-534-8812
Caro Wardrope,2,cwardrope6o@slashdot.org,366-871-0039
Sonny Don,10,sdon6p@sohu.com,709-658-9122
Theobald Gibke,8,tgibke6q@github.com,496-678-8426
Colly Gayther,9,cgayther6r@skyrock.com,613-108-5367
Ofella Demchen,1,odemchen6s@zdnet.com,775-557-0511
Tomasine Dupoy,1,tdupoy6t@so-net.ne.jp,624-138-6777
Margette Kipping,6,mkipping6u@symantec.com,234-140-2008
Karin Pomroy,9,kpomroy6v@patch.com,399-309-1990
Car Foldes,4,cfoldes6w@google.pl,516-716-5812
Fiona Botten,6,fbotten6x@prnewswire.com,343-370-1503
Leelah Errigo,5,lerrigo6y@house.gov,389-902-3965
Kenn Tomblin,6,ktomblin6z@livejournal.com,906-622-9966
Candace Pedreschi,7,cpedreschi70@meetup.com,519-177-8018
Tabbie Hug,5,thug71@bloglovin.com,865-180-9506
Flor Gumby,8,fgumby72@51.la,297-574-5565
Clarissa Josse,10,cjosse73@adobe.com,697-660-8620
Georgina Doak,8,gdoak74@usda.gov,647-116-2223
Adrian Yuryshev,6,ayuryshev75@mapy.cz,213-475-6930
Ewell Ingry,9,eingry76@examiner.com,816-625-6901
Kirsten Gertray,3,kgertray77@webmd.com,329-483-7079
Oberon Siburn,10,osiburn78@nature.com,792-859-3862
Madelena Purveys,8,mpurveys79@exblog.jp,790-533-1286
Nowell Snoad,9,nsnoad7a@yandex.ru,227-561-1733
Kelila Schroder,10,kschroder7b@last.fm,625-148-9749
Feodor Klaassens,3,fklaassens7c@opensource.org,668-709-1495
Ileana Hardaker,7,ihardaker7d@xing.com,917-774-2436
Judye Stroulger,7,jstroulger7e@jigsy.com,681-824-1745
Yardley Cavnor,1,ycavnor7f@dell.com,168-980-5786
Ali Croom,5,acroom7g@jalbum.net,700-617-2931
Dorena Savell,5,dsavell7h@istockphoto.com,731-817-1308
Anita Gerrish,4,agerrish7i@tripadvisor.com,748-924-7091
Hadleigh Papa,4,hpapa7j@hubpages.com,163-208-4177
Evelyn Veitch,9,eveitch7k@state.gov,484-984-1498
Clarance Shewsmith,6,cshewsmith7l@creativecommons.org,640-431-5324
Torey Steer,1,tsteer7m@netscape.com,586-293-1788
Aubrette Wilkie,8,awilkie7n@marriott.com,708-306-9848
Balduin Donne,2,bdonne7o@nifty.com,936-644-3315
Hilda Cardno,10,hcardno7p@google.ca,974-375-3755
Winston Ropkes,1,wropkes7q@shinystat.com,276-278-6806
Leona Dyter,1,ldyter7r@webmd.com,996-985-8965
Nikola Dufour,2,ndufour7s@digg.com,304-645-4828
Ambrosi Kupker,7,akupker7t@hexun.com,906-229-6401
Emelen Condliffe,8,econdliffe7u@google.com,709-906-5108
Davidson ducarme,5,dducarme7v@umich.edu,896-256-1980
Gabey Antao,9,gantao7w@cloudflare.com,142-956-6901
Horton Chadwen,3,hchadwen7x@java.com,875-611-7777
Alvan Allitt,5,aallitt7y@marketwatch.com,384-898-1895
Angelina Clemmett,4,aclemmett7z@columbia.edu,590-479-8590
Brook Hallatt,5,bhallatt80@virginia.edu,952-660-7618
Antonia Bischof,7,abischof81@prweb.com,269-719-2709
Fern Matzeitis,6,fmatzeitis82@google.de,337-860-9532
Mitch Celler,8,mceller83@nba.com,144-791-4708
Kailey Bernardino,9,kbernardino84@squarespace.com,972-200-0930
Lindy Blare,2,lblare85@ehow.com,221-887-5553
Lorenzo Hains,6,lhains86@sbwire.com,201-732-5453
Kellen Kleinzweig,6,kkleinzweig87@opera.com,814-316-2508
Gaven Halvosen,9,ghalvosen88@cdc.gov,302-668-0532
Pacorro Esland,2,pesland89@deliciousdays.com,245-570-3579
Godfree Hush,5,ghush8a@github.com,813-683-8729
Stella Danelutti,10,sdanelutti8b@printfriendly.com,966-876-7207
